trade_date,open,high,low,close,vol,MA5,MA10,MA20,RSI,MACD,MACD_Signal,MACD_Hist,Buy_Signal,Sell_Signal
2026-01-05,30.04266294584257,30.54783159131375,29.349293772228243,30.052568435668945,24809387,,,,,,,,0.0,0.0
2026-01-06,30.09218898972561,30.339820571531142,29.52758928549364,29.745506286621094,24147855,,,,,,,,0.0,0.0
2026-01-07,29.735599929975624,31.85532560388117,29.527588424896482,31.706745147705078,37029084,,,,,,,,0.0,0.0
2026-01-08,31.498736367463696,32.81613819292701,30.627074033073693,30.825180053710938,30220496,,,,,,,,0.0,0.0
2026-01-09,30.656789549863934,32.88547371098971,30.636978570560306,32.608123779296875,33554640,30.987624740600587,,,,,,,0.0,0.0
2026-01-12,32.65765326181036,33.01424333374275,31.627505004796344,32.84585189819336,27876788,31.54628143310547,,,,,,,0.0,0.0
2026-01-13,32.42983308442631,36.10468479135075,31.696841951727098,34.81700134277344,59203007,32.56058044433594,,,,,,,0.0,0.0
2026-01-14,35.510367360255735,36.54051564860329,33.776946285627055,34.80709457397461,55761344,33.180650329589845,,,,,,,0.0,0.0
2026-01-15,34.33164248213934,35.85705393876978,33.88590487746705,34.985389709472656,33251340,34.012692260742185,,,,,,,0.0,0.0
2026-01-16,37.24379001493359,37.392370481914156,34.797192449510064,35.26273727416992,43817293,34.5436149597168,32.76561985015869,,,,,,0.0,0.0
2026-01-19,35.27264154501878,38.78900909423828,35.27264154501878,38.78900909423828,50174628,35.73224639892578,33.63926391601562,,,,,,0.0,0.0
2026-01-20,39.41304146370197,40.21536532969352,37.144735382804804,39.45266342163086,50693881,36.65937881469726,34.6099796295166,,,,,,0.0,0.0
2026-01-21,38.51166339610233,40.12621853590874,37.67962115740834,38.4819450378418,34031856,37.3943489074707,35.287499618530276,,,,,,0.0,0.0
2026-01-22,38.53147623892668,39.11588693220852,36.907009863058526,37.075401306152344,30020977,37.81235122680664,35.91252174377441,,,,,,0.0,0.0
2026-01-23,37.144735546535685,38.63052496839711,36.857482018121914,37.53104019165039,24306226,38.266011810302736,36.40481338500977,,75.55857496779488,,,,0.0,0.0
2026-01-26,37.154642149193684,38.610717109419646,36.956539899783465,37.24378967285156,25427009,37.95696792602539,36.84460716247558,,73.99400209376647,,,,0.0,0.0
2026-01-27,36.79805608603448,37.98668470489808,36.18392701725563,37.71924591064453,23451411,37.610284423828126,37.1348316192627,,74.91972033976755,,,,0.0,0.0
2026-01-28,37.74895705183545,39.08616601545321,37.184357375769466,38.43241882324219,22217323,37.600379180908206,37.49736404418945,,76.28344257996483,,,,0.0,0.0
2026-01-29,38.14516670540378,39.25455889810593,37.35274640958655,37.51123046875,21001996,37.68754501342774,37.74994812011719,,70.9193464077058,,,,0.0,39.647104487086985
2026-01-30,37.184357945839565,37.669713713414055,35.65894654777527,37.164546966552734,18572848,37.6142463684082,37.940129089355466,35.35287446975708,68.95419338516959,,,,0.0,0.0
2026-02-02,38.63052750702099,38.927684655209525,37.0159685045005,37.37255859375,27699036,37.64000015258789,37.79848403930664,35.71887397766113,69.50028628700481,,,,0.0,0.0
2026-02-03,37.39236907572202,40.28470415475873,36.96644245019074,40.13612747192383,34876967,38.12337646484375,37.86683044433594,36.23840503692627,75.63277798784564,,,,0.0,0.0
2026-02-04,39.987546358491386,40.96816907486724,38.94749448137386,40.08660125732422,22314982,38.45421295166015,38.02729606628418,36.65739784240723,75.3404174489034,,,,0.0,0.0
2026-02-05,40.00735709422757,40.01726447332944,36.07496643066406,36.07496643066406,40917600,38.16696014404297,37.92725257873535,36.919887161254884,56.34218071827048,,,,0.0,0.0
2026-02-06,35.12406293460201,36.15421122992505,34.45050472447218,35.28254699707031,25614533,37.79056015014648,37.70240325927735,37.05360832214355,53.47375026624407,,,,0.0,0.0
2026-02-09,36.37212814347903,36.530612205558235,34.81700210352745,36.362220764160156,22561454,37.58849258422852,37.6142463684082,37.22942676544189,56.707770544554556,,,,0.0,36.89591832761382
2026-02-10,36.25326020264616,39.254557389377815,35.82733360153503,38.31355667114258,30821615,37.223978424072264,37.67367744445801,37.40425453186035,61.866842954303145,,,,0.0,0.0
2026-02-11,39.0168314624297,39.9479286291958,38.442328156935666,38.521568298339844,20590602,36.91097183227539,37.68259239196777,37.58997821807861,62.38148302823795,,,,0.0,0.0
