trade_date,open,high,low,close,vol,MA5,MA10,MA20,RSI,MACD,MACD_Signal,MACD_Hist,Buy_Signal,Sell_Signal,Position,Portfolio_Value,BuyHold_Value
2025-01-02,1435.628174812563,1436.0897520998674,1394.1795923376596,1401.7156982421875,5002870,,,,,,,,0.0,0.0,0,10000.0,10000.0
2025-01-03,1407.8388636702198,1408.30044098355,1381.9429274949987,1389.4696044921875,3262836,,,,,,,,0.0,0.0,0,10000.0,9912.634967523321
2025-01-06,1368.7453183492025,1377.8451989813707,1349.7166957770164,1356.4991455078125,4425512,,,,,,,,0.0,0.0,0,10000.0,9677.419944778541
2025-01-07,1360.8889574856346,1367.6996952024467,1355.5571300439613,1356.6875,2422118,,,,,,,,0.0,0.0,0,10000.0,9678.763687253737
2025-01-08,1356.4990928292896,1367.6336389531814,1343.9326681531593,1358.8541259765625,3525821,1372.64521484375,,,,,,,0.0,0.0,0,10000.0,9694.2206446045
2025-01-09,1364.967726612768,1379.6536805166184,1349.8860857594045,1360.26708984375,2970565,1364.3554931640624,,,,,,,0.0,0.0,0,10000.0,9704.300890327362
2025-01-10,1363.187403580926,1367.7561450210246,1352.7310791015625,1352.7310791015625,2187195,1357.0077880859376,,,,,,,0.0,0.0,0,10000.0,9650.538128366159
2025-01-13,1342.3688977100849,1360.6815803185455,1339.5522872573956,1360.248291015625,2108251,1357.7576171875,,,,,,,0.0,0.0,0,10000.0,9704.16677733891
2025-01-14,1361.1619910811326,1392.9361943981442,1358.3830980077462,1387.114501953125,3095657,1363.843017578125,,,,,,,0.0,0.0,0,10000.0,9895.833396833801
2025-01-15,1381.9333956930943,1389.092673176843,1375.3487324753362,1385.955810546875,1839934,1369.2633544921875,1370.9542846679688,,,,,,0.0,0.0,0,10000.0,9887.567159909273
2025-01-16,1388.5275571379077,1396.6854242371292,1358.3831325596086,1362.5091552734375,2634213,1369.711767578125,1367.0336303710938,,,,,,0.0,0.0,0,10000.0,9720.296041359052
2025-01-17,1362.5185817227289,1376.2813817411175,1362.5091523907197,1370.393798828125,1830894,1373.2443115234375,1365.1260498046875,,,,,,0.0,0.0,0,10000.0,9776.545989651528
2025-01-20,1376.2812996365867,1403.4018967464606,1375.3392864267055,1389.2811279296875,3140975,1379.05087890625,1368.404248046875,,,,,,0.0,0.0,0,10000.0,9911.290354184564
2025-01-21,1395.1215704387223,1396.063583653063,1380.0493590092694,1383.0167236328125,1685604,1378.2313232421875,1371.0371704101562,,,,,,0.0,0.0,0,10000.0,9866.599377942159
2025-01-22,1378.4196926929073,1382.8282501346573,1354.6150003998416,1357.4410400390625,2829384,1372.528369140625,1370.8958618164063,,37.286262918868594,,,,0.0,0.0,0,10000.0,9684.139528018075
2025-01-23,1365.8908777720014,1382.8754036864389,1354.6150071533373,1359.3250732421875,2712504,1371.891552734375,1370.80166015625,,38.008621003062906,,,,0.0,0.0,0,10000.0,9697.580436224267
2025-01-24,1358.383158819257,1363.8374525442262,1347.3710786987065,1352.7310791015625,3136034,1368.3590087890625,1370.80166015625,,36.4271552164661,,,,0.0,1377.4758270696684,0,10000.0,9650.538128366159
2025-01-27,1353.6731190279768,1360.238924164534,1344.2718446445592,1351.7796630859375,2935646,1360.8587158203125,1369.9547973632812,,36.1931579681911,,,,0.0,0.0,0,10000.0,9643.75061776884
2025-02-05,1356.4991508643966,1359.3251907620308,1320.9004314898039,1322.3983154296875,4075652,1348.7350341796875,1363.4831787109374,,29.822123001030644,,,,0.0,0.0,0,10000.0,9434.140725455472
