trade_date,open,high,low,close,vol
2024-05-14,8.9802548333113,9.064974362505005,8.848468799263433,9.00849437713623,38017063
2024-05-15,9.008494062436379,9.074387526017867,8.904948473549585,8.914361953735352,21961939
2024-05-16,8.933188179790069,8.942601660148023,8.773162604580433,8.801403045654297,38984543
2024-05-17,8.801403466437414,8.867296036655533,8.763750440924353,8.820229530334473,33047657
2024-05-20,8.810815883375996,8.952015399676498,8.79198981983395,8.933188438415527,34617462
2024-05-21,8.93318838320557,8.999081849492798,8.904948839207568,8.970841407775879,21488875
2024-05-22,8.970841519130563,9.06497453058426,8.867295924706639,8.895535469055176,33530481
2024-05-23,8.876709350070465,9.00849448802156,8.86729586943998,8.933188438415527,24099934
2024-05-24,8.895535143265148,9.177933269564766,8.895535143265148,9.121453285217285,47831752
2024-05-27,9.140279955925186,9.262652503363308,9.083799973369565,9.187346458435059,39489696
2024-05-28,9.196761139174972,9.37561279480004,9.168520695350763,9.319132804870605,32332141
2024-05-29,9.290893144005148,9.403852224749771,9.149694517504114,9.394438743591309,34445946
2024-05-30,9.385024890038892,9.46974441356167,9.262652344696974,9.300305366516113,32941124
2024-05-31,9.30971908569336,9.432091634180685,9.22499955999299,9.30971908569336,29265949
2024-06-03,9.347372566553531,9.676836307655233,9.33795908596576,9.64859676361084,59611638
2024-06-04,9.667423742036657,9.836861904324275,9.620357236732739,9.808622360229492,44065800
2024-06-05,9.827448968111309,9.97806197297084,9.789795941326169,9.912168502807617,33111695
2024-06-06,9.883928481840007,10.091020568058907,9.82744849551888,9.930994987487793,37699698
2024-06-07,9.90275522467679,10.100432928141549,9.874514783279905,10.0816068649292,29059928
2024-06-11,10.109846036243253,10.203979041994637,9.836861396826889,9.987473487854004,33336461
2024-06-12,9.95923412948471,10.062779719551962,9.893341562870903,10.034540176391602,23644104
2024-06-13,10.043954496662208,10.194566603071705,10.034541015581873,10.109847068786621,22919430
2024-06-14,10.091020624784223,10.109846688517809,9.82744855076256,9.893342018127441,37939836
2024-06-17,9.88392877617736,9.996887854464541,9.818036204939576,9.86510181427002,33211681
2024-06-18,9.865101099501326,9.90275502058782,9.770968989941759,9.87451457977295,27917272
