trade_date,open,high,low,close,vol
,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ
2025-01-02,10.784817074397958,10.821594787407879,10.472214405274098,10.508991241455078,181959699
2025-01-03,10.518185142397154,10.610127674319319,10.44463146759101,10.463020324707031,115468044
2025-01-06,10.463020795367934,10.554962454596964,10.315913439138276,10.51818561553955,108553630
2025-01-07,10.49979812319249,10.600934216101026,10.4538268530235,10.58254623413086,74786288
2025-01-08,10.57335090637207,10.69287584792445,10.481408373845941,10.57335090637207,106238601
2025-01-09,10.57335064949406,10.57335064949406,10.435437730884413,10.48140811920166,75148330
2025-01-10,10.481407937575813,10.53657363016111,10.371077429234155,10.389466285705566,79813351
2025-01-13,10.343495719662663,10.352690148519098,10.187193936419218,10.297524452209473,93496618
2025-01-14,10.297524117978725,10.481408304994083,10.288329689420715,10.463020324707031,82462895
2025-01-15,10.463021446923003,10.646905653660943,10.444632587834677,10.554963111877441,103163082
2025-01-16,10.628516066288052,10.656098473925994,10.573350374183235,10.637709617614746,87296399
2025-01-17,10.600933667355362,10.619322525202696,10.499797579682022,10.527379989624023,68976486
2025-01-20,10.573351500467066,10.591740358737114,10.481408962774873,10.499797821044922,83202913
2025-01-21,10.527378960091827,10.527378960091827,10.407854026260175,10.417048454284668,90206894
2025-01-22,10.40785387139793,10.417048299285614,10.187192863066905,10.19638729095459,134712922
2025-01-23,10.269942107471044,10.481408711533561,10.269942107471044,10.407855033874512,151492027
2025-01-24,10.407854924407603,10.4722150493041,10.31591326671531,10.426243782043457,94494421
2025-01-27,10.463020631998562,10.619322414759331,10.463020631998562,10.545768737792969,115193471
2025-02-05,10.573349927434359,10.591738782968635,10.417048162708582,10.453824996948242,84343370
2025-02-06,10.435438977548023,10.527380641995226,10.389467706909892,10.444632530212402,95560325
2025-02-07,10.44463146759101,10.527379570955166,10.398661078458899,10.463020324707031,140749262
2025-02-10,10.463019977021618,10.573350485564559,10.444631120516659,10.508991241455078,102659093
2025-02-11,10.481408962774873,10.545769089891017,10.453826552198825,10.499797821044922,84452003
2025-02-12,10.490603391909897,10.508992250179945,10.426244141622776,10.499797821044922,98880683
2025-02-13,10.499797231082757,10.619322172635135,10.481408373845941,10.57335090637207,135863927
2025-02-14,10.56415613005432,10.619321823120117,10.508991313817468,10.619321823120117,97305774
2025-02-17,10.665293283786156,10.849177469335098,10.61932201819168,10.830788612365723,206196542
2025-02-18,10.81240046971561,10.996284652500783,10.81240046971561,10.85837173461914,199661049
2025-02-19,10.849178007935285,10.858372436876424,10.738847491128636,10.766429901123047,117774895
2025-02-20,10.766429295993547,10.812400561286411,10.71126360227632,10.720458030700684,78439627
2025-02-21,10.74804062546688,10.766429482634386,10.619322132610217,10.702070236206055,97396897
2025-02-24,10.692876158169716,10.748040977822777,10.628516909631477,10.656099319458008,94995617
2025-02-25,10.628516843587375,10.64690482441447,10.536574308964925,10.545768737792969,91715602
2025-02-26,10.545768388751338,10.665293329072915,10.545768388751338,10.591739654541016,84164552
2025-02-27,10.600933383597047,10.692875916714668,10.5365741365121,10.68368148803711,97730975
2025-02-28,10.646904340171531,10.738846870612248,10.573350666550539,10.600933074951172,94908806
2025-03-03,10.591740663530468,10.628517504299849,10.527380534562264,10.58254623413086,83045695
