trade_date,open,high,low,close,vol,MA5,MA10,MA20,RSI,MACD,MACD_Signal,MACD_Hist,Buy_Signal,Sell_Signal,Position,Portfolio_Value
2025-01-02,10.784818053103033,10.821595769450472,10.472215355610976,10.508992195129395,181959699,,,,,,,,0.0,0.0,0,10000.0
2025-01-03,10.518185142397154,10.610127674319319,10.44463146759101,10.463020324707031,115468044,,,,,,,,0.0,0.0,0,10000.0
2025-01-06,10.46301984669536,10.554961497588126,10.315912503803794,10.518184661865234,108553630,,,,,,,,0.0,0.0,0,10000.0
2025-01-07,10.49979812319249,10.600934216101026,10.4538268530235,10.58254623413086,74786288,,,,,,,,0.0,0.0,0,10000.0
2025-01-08,10.573351860046387,10.692876812379442,10.481409319227406,10.573351860046387,106238601,10.529219055175782,,,,,,,0.0,0.0,0,10000.0
2025-01-09,10.57335064949406,10.57335064949406,10.435437730884413,10.48140811920166,75148330,10.523702239990234,,,,,,,0.0,0.0,0,10000.0
2025-01-10,10.481408899689676,10.536574597338767,10.371078381220514,10.389467239379883,79813351,10.508991622924805,,,,,,,0.0,0.0,0,10000.0
2025-01-13,10.343495719662663,10.352690148519098,10.187193936419218,10.297524452209473,93496618,10.464859580993652,,,,,,,0.0,0.0,0,10000.0
2025-01-14,10.297524117978725,10.481408304994083,10.288329689420715,10.463020324707031,82462895,10.440954399108886,,,,,,,0.0,0.0,0,10000.0
2025-01-15,10.463020501555906,10.646904691679326,10.444631644129073,10.554962158203125,103163082,10.437276458740234,10.483247756958008,,,,,,0.0,0.0,0,10000.0
2025-01-16,10.628516066288052,10.656098473925994,10.573350374183235,10.637709617614746,87296399,10.468536758422852,10.496119499206543,,,,,,0.0,0.0,0,10000.0
2025-01-17,10.600932707017824,10.619321563199316,10.499796628506394,10.527379035949707,68976486,10.496119117736816,10.50255537033081,,,,,,0.0,0.0,0,10000.0
2025-01-20,10.573351500467066,10.591740358737114,10.481408962774873,10.499797821044922,83202913,10.536573791503907,10.50071668624878,,,,,,0.0,0.0,0,10000.0
2025-01-21,10.527379923866834,10.527379923866834,10.407854979092747,10.417049407958984,90206894,10.527379608154297,10.484167003631592,,,,,,0.0,0.0,0,10000.0
